user,repository_name,url,size,stargazers_count,forks_count,open_issues
thought-machine,falco-probes,https://github.com/thought-machine/falco-probes.git,152,11,1,6
xpahos,p0f_ebpf,https://github.com/xpahos/p0f_ebpf.git,15,4,0,0
linuxthor,BsidesLeeds-eBPF,https://github.com/linuxthor/BsidesLeeds-eBPF.git,25375,4,0,0
zhangyoufu,fwmark,https://github.com/zhangyoufu/fwmark.git,8,6,0,0
mrtc0,cxray,https://github.com/mrtc0/cxray.git,71,13,3,1
Eideticom,eid-hermes,https://github.com/Eideticom/eid-hermes.git,243,6,2,7
jpsamaroo,BPFnative.jl,https://github.com/jpsamaroo/BPFnative.jl.git,146,7,1,13
matthewbentley,ebpf-flowradar,https://github.com/matthewbentley/ebpf-flowradar.git,64,3,1,0
lac-dcc,elixir-project,https://github.com/lac-dcc/elixir-project.git,905,6,0,0
udzura,rbbcc,https://github.com/udzura/rbbcc.git,2361,38,0,1
laik,ebpf-app,https://github.com/laik/ebpf-app.git,994,3,0,0
w180112,ebpf_example,https://github.com/w180112/ebpf_example.git,10,4,0,0
StamusNetworks,bpfctrl,https://github.com/StamusNetworks/bpfctrl.git,43,10,1,0
jackhumphries,bazel-ebpf,https://github.com/jackhumphries/bazel-ebpf.git,4,3,0,0
leodido,falco-diagrams,https://github.com/leodido/falco-diagrams.git,3525,10,1,0
falcosecurity,ebpf-probe,https://github.com/falcosecurity/ebpf-probe.git,1,3,1,2
SPYFF,ebpf-vrf,https://github.com/SPYFF/ebpf-vrf.git,5,3,1,0
